Cost_scaling_factor_global,Update_frequency_global,Publish_frequency_global,Transform_tolerance_global,Combination_method_global,Cost_scaling_factor_local,Inflation_radius_local,Update_frequency_local,Publish_frequency_local,Combination_method_local,Transform_tolerance_local,Path_distance_bias,Goal_distance_bias,Occdist_scale,Stop_time_buffer,yaw_goal_tolerance,xy_goal_tolerance,min_vel_x,DWA_failed,DWA_new_plan,DWA_invalid_trajectory,Rotate_recovery_executed,ClearCostMaps_unstuck_recovery_executed,ClearCostMaps_layer_recovery_executed,Invalid_rotation_cmd,Error_rotating_goal,2DRMS,DRMS,CPE,Euclidean_distance,RNS,Traveled_distance,Mission_time,Battery_percentage,Mission_success
17.0,6.0,9.0,1.28,1.0,6.0,0.14,14.0,12.0,1.0,4.14,48.45,19.48,0.31,0.09,0.27,0.02,-0.28,0.0,2149.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0001026938803589,5.134694017949491e-05,3.476167448920749e-05,1.3062435513433828,0.6,33.18,494.98,24.89,0.0
28.0,14.0,6.0,0.83,0.0,7.0,0.27,6.0,9.0,1.0,2.44,14.42,19.22,0.16,0.05,0.29,0.14,-0.08,620.0,886.0,0.0,6.0,0.0,0.0,0.0,0.0,4.732118387760034e-05,2.366059193880017e-05,1.4484870393928627e-05,1.2686311976457312,0.6,7.48,131.88,88.8,0.0
25.0,13.0,14.0,1.47,0.0,2.0,0.8,4.0,15.0,1.0,4.32,15.4,29.91,0.07,0.07,0.14,0.12,-0.04,770.0,788.0,0.0,10.0,0.0,0.0,0.0,0.0,8.780360578253919e-05,4.39018028912696e-05,3.6605022692403714e-05,2.054499920197394,0.0,0.86,94.45,95.7,0.0
5.0,13.0,6.0,2.82,1.0,11.0,0.24,4.0,13.0,0.0,4.53,46.55,38.89,0.44,0.06,0.14,0.15,-0.25,0.0,368.0,0.0,0.0,0.0,0.0,0.0,0.0,2.00923954247769e-05,1.004619771238845e-05,6.170854534821636e-06,1.380350358073193,1.0,10.96,84.2,88.51,1.0
8.0,1.0,11.0,0.57,1.0,12.0,0.42,13.0,10.0,1.0,0.84,11.41,22.09,0.3,0.06,0.25,0.16,-0.01,618.0,667.0,0.0,8.0,0.0,0.0,0.0,0.0,4.2759679186284886e-05,2.1379839593142443e-05,1.375880124957664e-05,1.4283977343987613,0.2,1.42,84.31,95.5,0.0
27.0,20.0,10.0,0.3,1.0,1.0,0.81,17.0,18.0,0.0,0.88,18.25,7.91,0.06,0.02,0.07,0.12,-0.24,16.0,639.0,161.0,2.0,0.0,0.0,161.0,161.0,0.0001183587681164,5.917938405820106e-05,3.799856895482219e-05,1.2561349000448887,0.8,10.98,122.46,85.64,0.0
27.0,19.0,6.0,0.86,1.0,17.0,0.78,7.0,19.0,0.0,2.74,40.26,30.85,0.26,0.06,0.13,0.13,-0.06,5.0,338.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0082892748984417e-05,1.0041446374492208e-05,6.531663380107416e-06,1.399603603701411,1.0,9.92,77.81,89.64,1.0
22.0,7.0,18.0,0.54,0.0,12.0,0.37,19.0,14.0,0.0,1.4,10.35,22.05,0.09,0.06,0.23,0.12,-0.14,18.0,855.0,309.0,4.0,0.0,0.0,309.0,309.0,5.133229332908391e-05,2.566614666454196e-05,1.5484723660191144e-05,1.2972140792103446,0.6,13.38,151.82,81.89,0.0
22.0,8.0,4.0,1.76,0.0,8.0,0.27,2.0,1.0,1.0,4.7,44.78,19.25,0.11,0.03,0.17,0.16,-0.17,41.0,408.0,0.0,0.0,0.0,0.0,0.0,0.0,3.60771188329178e-05,1.80385594164589e-05,1.094293210583762e-05,1.3789270167660637,1.0,10.07,88.32,88.0,1.0
15.0,10.0,20.0,0.59,1.0,7.0,0.41,1.0,8.0,1.0,2.45,29.43,20.77,0.39,0.1,0.3,0.03,-0.15,0.0,1283.0,155.0,7.0,0.0,0.0,155.0,155.0,5.781962478249951e-05,2.8909812391249755e-05,1.76145610403121e-05,1.310452286761421,0.4,20.47,287.13,58.81,0.0
